Search keyword report
"May 11, 2026 - June 11, 2026"
Keyword status,Keyword,Match type,Ad group,Status,Status reasons,Conversions,Currency code,Cost / conv.,Final URL,Clicks,Impr.,CTR,Avg. CPC,Cost,Conv. rate
Paused,perizia tecnica asseverata fac simile,Broad match,Gruppo Inserzioni Iperammortamento,Paused,paused,0.00,EUR,0.00,,0,1,0.00%,0,0.00,0.00%
Enabled,richiedi perizia iperammortamento,Broad match,Gruppo Inserzioni Iperammortamento,Not eligible,rarely served,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Paused,perizia semplice,Broad match,Gruppo Inserzioni Iperammortamento,Paused,paused,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Enabled,"""tecnico abilitato iperammortamento""",Phrase match,Gruppo Inserzioni Iperammortamento,Not eligible,rarely served,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Enabled,iperammortamento impianti produttivi,Broad match,Gruppo Inserzioni Iperammortamento,Not eligible,rarely served,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Paused,perizia giurata e asseverata,Broad match,Gruppo Inserzioni Iperammortamento,Paused,paused,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Enabled,perizia iperammortamento,Broad match,Gruppo Inserzioni Iperammortamento,Eligible,,0.00,EUR,0.00,,9,101,8.91%,1.65,14.86,0.00%
Enabled,perizia tecnica beni strumentali 4.0,Broad match,Gruppo Inserzioni Iperammortamento,Not eligible,rarely served,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Paused,modello di perizia asseverata,Broad match,Gruppo Inserzioni Iperammortamento,Paused,paused,0.00,EUR,0.00,,2,8,25.00%,0.52,1.05,0.00%
Enabled,agevolazioni acquisto macchinari 2026,Broad match,Gruppo Inserzioni Iperammortamento,Eligible,,0.00,EUR,0.00,,117,"1,745",6.70%,0.91,106.32,0.00%
Enabled,tecnico abilitato iperammortamento,Broad match,Gruppo Inserzioni Iperammortamento,Not eligible,rarely served,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Enabled,a chi chiedere perizia iperammortamento,Broad match,Gruppo Inserzioni Iperammortamento,Not eligible,rarely served,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Paused,perizia giurata asseverata,Broad match,Gruppo Inserzioni Iperammortamento,Paused,paused,0.00,EUR,0.00,,0,1,0.00%,0,0.00,0.00%
Paused,formula perizia asseverata,Broad match,Gruppo Inserzioni Iperammortamento,Paused,paused,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Enabled,agevolazioni sistemi visione artificiale,Broad match,Gruppo Inserzioni Iperammortamento,Not eligible,rarely served,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Enabled,consulenza iperammortamento,Broad match,Gruppo Inserzioni Iperammortamento,Eligible,,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Enabled,"""richiedi perizia iperammortamento""",Phrase match,Gruppo Inserzioni Iperammortamento,Not eligible,rarely served,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Paused,perizia asseverata o giurata,Broad match,Gruppo Inserzioni Iperammortamento,Paused,paused,0.00,EUR,0.00,,0,1,0.00%,0,0.00,0.00%
Enabled,"""a chi chiedere perizia iperammortamento""",Phrase match,Gruppo Inserzioni Iperammortamento,Not eligible,rarely served,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Paused,perizia giurata o asseverata,Broad match,Gruppo Inserzioni Iperammortamento,Paused,paused,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
 --,,Total: All but removed keywords, --, --,,0.00,EUR,0.00,,425,"5,885",7.22%,0.88,371.96,0.00%
,,Total: Keywords in your campaign,,,,0.00,EUR,0.00,,425,"5,886",7.22%,0.88,371.96,0.00%
,,Total: Your keywords,,,,0.00,EUR,0.00,,425,"5,886",7.22%,0.88,371.96,0.00%
,,Total: AI Max expanded matches,,,,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
,,Total: AI Max landing page matches,,,,0.00,EUR,0.00,,3,21,14.29%,0.67,2.01,0.00%
,,Total: URL inclusions in your campaign,,,,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
,,Total: Campaign,,,,0.00,EUR,0.00,,428,"5,907",7.25%,0.87,373.97,0.00%
