Content suitability
All time
Content suitability placement name (group),Content Suitability placement type,Campaign,Ad group,Impr.
panorama.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,14
volomarket.org,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,14
Sandro Sabatini,YouTube channel,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,13
lanuovasardegna.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,13
latuastellaguida.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,13
modulieditabili.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,13
serbestpiyasa.net,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,13
commercialistatelematico.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,12
sky.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,12
10elotto5.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,11
Smettere di lavorare,YouTube channel,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,11
jacopotartaglia.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,11
moduli.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,11
repubblica.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,11
shopweeklyneeds.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,11
trevisotoday.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,11
liberoquotidiano.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,10
melablog.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,10
milanofinanza.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,10
codicefiscale.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,9
ecosia.org,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,9
imprese-edili.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,9
informazionescuola.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,9
quifinanza.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,9
Sandro Cicali Free Energy,YouTube channel,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,8
condominioweb.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,8
geopop.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,8
ilcittadinomb.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,8
mpptsolar.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,8
my-personaltrainer.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,8
scontomaggio.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,8
"Mobile App: Contacts: Phone Dialer & Calls (Google Play), by Featured Festival",Mobile application,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,7
comuni-italiani.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,7
corriere.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,7
corrierealpi.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,7
electroyou.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,7
ilgazzettino.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,7
ilmattino.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,7
inkt-kaik.ai,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,7
oggitreviso.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,7
rendimentibtp.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,7
tasse-fisco.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,7
tvzap.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,7
Missione Casa,YouTube channel,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,6
Peppe - Finanza Furba,YouTube channel,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,6
ediltecnico.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,6
friulioggi.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,6
ideadesigncasa.org,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,6
jedanews.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,6
scuolainforma.news,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,6
simonandthestars.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,6
today.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,6
10elotto5minuti.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,5
"Mobile App: PV Forecast: Solar Power & Gen (Google Play), by NRG Labs",Mobile application,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,5
"Mobile App: Smart Helper (Google Play), by GPMobileStudio",Mobile application,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,5
adnkronos.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,5
agenziagiornalisticaopinione.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,5
blogbisacchi.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,5
consiglietrucchi.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,5
edilnet.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,5
espertocasaclima.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,5
extraetf.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,5
focus.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,5
forlitoday.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,5
ilnordest.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,5
ilsoftware.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,5
katalozi365.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,5
lineameteo.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,5
lottoced.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,5
maison-et-domotique.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,5
quizpatenteonline.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,5
romanews.eu,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,5
staseraintv.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,5
trentotoday.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,5
enricorovere.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,4
portavolantino.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,4
proboxin.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,4
Il Fatto Quotidiano,YouTube channel,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,2
PK on Solis,YouTube channel,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,2
Riccardo Muscarella,YouTube channel,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,2
corrieredelleconomia.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,1
mydealzon.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,1
worldcam.eu,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,0
