Asset association report
"May 11, 2026 - June 11, 2026"
Asset status,Asset,Asset type,Level,Status,Status reason,Added by,Last updated,Currency code,TrueView avg. CPV,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Clicks
Enabled,"Recensioni
Cosa dicono di noi
Risultati incredibili
https://neogela.com/neogela-opinioni-recensioni-testimonianze/",Sitelink,Account,Eligible,,Advertiser,"Apr 16, 2026, 12:57 PM",EUR,0.009,"16,140","2,616",16.21%,0.15,398.67,"2,613"
Enabled,https://tpc.googlesyndication.com/simgad/16145686095925425013,Image,Campaign,Not eligible,Disapproved,Advertiser,"Sep 25, 2023, 9:46 PM",EUR,0,0,0, --,0,0.00,0
Enabled,"Recensioni
Cosa dicono di noi
Risultati incredibili
https://neogela.com/neogela-opinioni-recensioni-testimonianze/",Sitelink,Campaign,Eligible,,Advertiser,"Feb 12, 2022, 12:23 AM",EUR,0,"2,913",751,25.78%,0.32,239.50,751
Enabled,Neogela,Business name,Campaign,Eligible,,Advertiser,"Jan 23, 2024, 12:25 PM",EUR,0,"8,193","1,504",18.36%,0.36,541.17,"1,504"
Enabled,https://tpc.googlesyndication.com/simgad/14125315739748178404,Image,Campaign,Eligible,,Advertiser,"May 31, 2024, 11:59 AM",EUR,0,"5,707",798,13.98%,0.04,35.05,798
Enabled,https://tpc.googlesyndication.com/simgad/14887504217587977272,Image,Campaign,Not eligible,Disapproved,Advertiser,"Sep 25, 2023, 9:46 PM",EUR,0,0,0, --,0,0.00,0
Enabled,https://tpc.googlesyndication.com/simgad/9535715398565443360,Image,Campaign,Eligible,,Advertiser,"Apr 22, 2026, 12:25 PM",EUR,0,828,104,12.56%,0.43,44.37,104
Enabled,"Perché Neogela
Professionisti del collagene
Prenota una consuelnza
https://neogela.com/prenota-una-consulenza/",Sitelink,Account,Eligible,,Advertiser,"Apr 16, 2026, 12:57 PM",EUR,0,"24,060","5,202",21.62%,0.10,519.76,"5,202"
Enabled,"Il nostro Blog
Cosa fare per il bene delle ossa?
I suggerimenti del Blog di Neogela
https://neogela.com/blog/",Sitelink,Account,Limited,Approved (limited),Advertiser,"Apr 16, 2026, 12:57 PM",EUR,0,"5,237",165,3.15%,0.09,15.18,165
Enabled,https://tpc.googlesyndication.com/simgad/3299411654543969083,Image,Campaign,Eligible,,Advertiser,"Apr 22, 2026, 12:25 PM",EUR,0,381,23,6.04%,0.27,6.27,23
Enabled,"Perché Neogela
Professionisti del collagene
Prenota una consuelnza
https://neogela.com/prenota-una-consulenza/",Sitelink,Campaign,Eligible,,Advertiser,"Feb 12, 2022, 12:23 AM",EUR,0,"3,440",916,26.63%,0.32,297.66,916
Enabled,Contattaci,Callout,Campaign,Eligible,,Advertiser,"May 31, 2024, 11:59 AM",EUR,0,"2,753",628,22.81%,0.07,40.87,628
Enabled,https://tpc.googlesyndication.com/simgad/6683396256376791772,Image,Campaign,Eligible,,Advertiser,"May 31, 2024, 11:59 AM",EUR,0,"10,152","1,363",13.43%,0.03,47.49,"1,363"
Enabled,https://tpc.googlesyndication.com/simgad/18422173398530956508,Logo,Campaign,Eligible,,Advertiser,"May 16, 2025, 2:18 PM",EUR,0.020,"30,599","2,994",9.78%,0.02,68.89,"2,314"
Enabled,Contattaci,Callout,Campaign,Eligible,,Advertiser,"Apr 27, 2023, 9:33 AM",EUR,0,112,5,4.46%,0.59,2.94,5
Enabled,Contattaci,Callout,Campaign,Eligible,,Advertiser,"Feb 12, 2022, 1:10 AM",EUR,0,923,150,16.25%,0.43,64.13,150
Enabled,https://tpc.googlesyndication.com/simgad/6683396256376791772,Image,Campaign,Eligible,,Advertiser,"May 30, 2024, 2:21 PM",EUR,0,56,2,3.57%,0.40,0.80,2
Enabled,0444 894878,Call,Campaign,Eligible,,Advertiser,"May 31, 2024, 11:59 AM",EUR,0,372,91,24.46%,0.05,4.71,91
Enabled,https://tpc.googlesyndication.com/simgad/8180574590460782094,Business logo,Campaign,Eligible,,Advertiser,"May 31, 2024, 11:59 AM",EUR,0,"39,887","6,471",16.22%,0.04,276.60,"6,471"
Enabled,0444 894878,Call,Campaign,Eligible,,Advertiser,"Apr 27, 2023, 9:33 AM",EUR,0,25,2,8.00%,1.19,2.37,2
Enabled,"Chi siamo
Conosci il Team Neogela
Contattaci
https://neogela.com/chi-siamo/",Sitelink,Campaign,Eligible,,Advertiser,"Apr 27, 2023, 9:33 AM",EUR,0.009,338,35,10.36%,0.82,28.54,32
Enabled,https://tpc.googlesyndication.com/simgad/8180574590460782094,Business logo,Account,Eligible,,Advertiser,"May 31, 2024, 8:45 AM",EUR,0,"48,066","7,974",16.59%,0.10,816.98,"7,974"
Enabled,"Chi siamo
Conosci il Team Neogela
Contattaci
https://neogela.com/chi-siamo/",Sitelink,Account,Eligible,,Advertiser,"Apr 24, 2025, 12:43 PM",EUR,0.009,"8,140",577,7.09%,0.31,180.15,574
Enabled,https://tpc.googlesyndication.com/simgad/8180574590460782094,Business logo,Campaign,Eligible,,Advertiser,"Jan 23, 2024, 12:25 PM",EUR,0,"8,179","1,503",18.38%,0.36,540.37,"1,503"
Enabled,0444 894878,Call,Campaign,Eligible,,Advertiser,"Aug 23, 2022, 5:54 AM",EUR,0,365,89,24.38%,0.30,27.08,89
Enabled,"Chi siamo
Conosci il Team Neogela
Contattaci
https://neogela.com/chi-siamo/",Sitelink,Campaign,Eligible,,Advertiser,"Feb 12, 2022, 12:23 AM",EUR,0,"1,523",328,21.54%,0.37,122.50,328
Enabled,Spedizione Gratuita,Callout,Campaign,Eligible,,Advertiser,"Apr 27, 2023, 9:33 AM",EUR,0,294,15,5.10%,0.80,11.96,15
Enabled,https://tpc.googlesyndication.com/simgad/13766625430176898406,Business logo,Campaign,Eligible,,Google AI,"Jun 2, 2024, 5:56 PM",EUR,0,21,2,9.52%,0.04,0.08,2
Enabled,https://tpc.googlesyndication.com/simgad/13766625430176898406,Logo,Campaign,Eligible,,Google AI,"Nov 20, 2024, 4:23 AM",EUR,0,"1,846",149,8.07%,0.62,92.94,149
Enabled,"Shop Online
Spedizioni in 24/48H
Collagene tipo 1
https://neogela.com/neogela-shop/",Sitelink,Campaign,Eligible,,Advertiser,"Apr 27, 2023, 9:33 AM",EUR,0.009,274,35,12.77%,0.68,23.85,32
Enabled,"Shop Online
Spedizioni in 24/48H
Collagene tipo 1
https://neogela.com/neogela-shop/",Sitelink,Account,Eligible,,Advertiser,"Apr 16, 2026, 12:57 PM",EUR,0.009,"10,767",983,9.13%,0.34,332.23,980
Enabled,https://tpc.googlesyndication.com/simgad/13766625430176898406,Business logo,Campaign,Eligible,,Google AI,"Nov 29, 2023, 10:35 PM",EUR,0,10,2,20.00%,0.47,0.94,2
Enabled,https://tpc.googlesyndication.com/simgad/981573507914811695,Image,Campaign,Not eligible,Disapproved,Advertiser,"Sep 25, 2023, 9:46 PM",EUR,0,0,0, --,0,0.00,0
Enabled,Resi e rimborsi,Callout,Campaign,Eligible,,Advertiser,"Apr 27, 2023, 9:33 AM",EUR,0,378,23,6.08%,0.65,14.89,23
Enabled,"Consulenza inclusa
Contattaci
Team esperto in Osteoporosi
https://neogela.com/contatti/",Sitelink,Account,Eligible,,Advertiser,"Apr 24, 2025, 12:43 PM",EUR,0,"11,634","1,068",9.18%,0.04,37.59,"1,068"
Enabled,https://tpc.googlesyndication.com/simgad/5678559813652179400,Image,Campaign,Eligible,,Advertiser,"Apr 22, 2026, 12:25 PM",EUR,0,245,16,6.53%,0.35,5.52,16
Enabled,"Consulenza inclusa
Contattaci
Team esperto in Osteoporosi
https://neogela.com/contatti/",Sitelink,Campaign,Eligible,,Advertiser,"Feb 12, 2022, 12:23 AM",EUR,0,705,32,4.54%,0.22,7.02,32
Enabled,https://tpc.googlesyndication.com/simgad/8674293422741753865,Image,Campaign,Eligible,,Advertiser,"Sep 25, 2023, 9:46 PM",EUR,0,961,129,13.42%,0.36,45.98,129
Enabled,https://tpc.googlesyndication.com/simgad/10719598348929577150,Image,Campaign,Eligible,,Advertiser,"Apr 22, 2026, 12:25 PM",EUR,0,14,0,0.00%,0,0.00,0
Enabled,https://tpc.googlesyndication.com/simgad/17275542025077923679,Image,Campaign,Eligible,,Advertiser,"May 31, 2024, 11:59 AM",EUR,0,"10,819","1,577",14.58%,0.04,58.05,"1,577"
Enabled,https://tpc.googlesyndication.com/simgad/17275542025077923679,Image,Campaign,Eligible,,Advertiser,"May 30, 2024, 2:21 PM",EUR,0,73,4,5.48%,0.24,0.95,4
Enabled,https://tpc.googlesyndication.com/simgad/12969043168411068297,Image,Campaign,Eligible,,Advertiser,"Apr 22, 2026, 12:25 PM",EUR,0,717,121,16.88%,0.29,35.44,121
Enabled,https://tpc.googlesyndication.com/simgad/12342005331280651341,Image,Campaign,Eligible,,Advertiser,"Apr 22, 2026, 12:25 PM",EUR,0,"1,871",290,15.50%,0.31,90.13,290
Enabled,https://tpc.googlesyndication.com/simgad/13831503689848711117,Image,Campaign,Eligible,,Advertiser,"Apr 24, 2025, 12:22 PM",EUR,0,"3,516",293,8.33%,0.11,31.62,293
Enabled,Consulenza medica,Callout,Campaign,Eligible,,Advertiser,"May 31, 2024, 11:59 AM",EUR,0,"5,787","1,595",27.56%,0.05,78.36,"1,595"
Enabled,Consulenza medica,Callout,Campaign,Eligible,,Advertiser,"Apr 27, 2023, 9:33 AM",EUR,0,319,16,5.02%,0.78,12.47,16
Enabled,"Servizi:consulenza prdotto,valutazione MOC,guida scelta integratori,consulenza personalizzata",Structured snippet,Account,Eligible,,Advertiser, --,EUR,0,"2,169",455,20.98%,0.13,56.95,455
Enabled,https://tpc.googlesyndication.com/simgad/9154981685607015782,Image,Campaign,Not eligible,Disapproved,Advertiser,"Sep 25, 2023, 9:46 PM",EUR,0,0,0, --,0,0.00,0
Enabled,https://tpc.googlesyndication.com/simgad/925618208866654764,Image,Campaign,Eligible,,Advertiser,"Sep 25, 2023, 9:46 PM",EUR,0,734,107,14.58%,0.36,38.12,107
Enabled,Consulenza medica,Callout,Campaign,Eligible,,Advertiser,"Feb 12, 2022, 1:10 AM",EUR,0,"2,687",495,18.42%,0.38,186.74,495
