KPI Book - MUVI ,update al 25/03/2026,,,,,,,Timeframe: Q4-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
# mi piace,"Valuta qualità potenziali clienti acquisiti. Cruciale per conversioni efficaci.
(Lead qualificati / Lead totali) * 100",Nome Cognome,link,MUVI,Mensile ,meta,861,#N/A,"861,00%","4155,00%",0,30,50,100,%,,2551,861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# visualizzazione delle storie,,,,MUVI,Mensile ,,,,,,,,,,,,5963,1690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#salvataggi post,,,,MUVI,Mensile ,,,,,,,,,,,,399,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contenuti organici TT,,,,,,,,,,,,,,,,, 15 FEBB - 15 MAGGIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# copertura ,"Valuta qualità potenziali clienti acquisiti. Cruciale per conversioni efficaci.
(Lead qualificati / Lead totali) * 100",Nome Cognome,link,MUVI,Mensile ,tiktok,,#N/A,"0,00%","-150,00%",0,30,50,100,%,,426150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# pubblico raggiunto con la copertura che ha interagito,,,,MUVI,Mensile ,,,,,,,,,,,,6579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# visualizzazioni video,,,,MUVI,Mensile ,,,,,,,,,,,,441610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#visualizzazioni profilo,,,,MUVI,Mensile ,,,,,,,,,,,,1166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# follower ,,,,MUVI,Mensile ,tiktok,,,,,,,,,,,1479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# commenti ,,,,MUVI,Mensile ,tiktok,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# condivisioni,"Valuta qualità potenziali clienti acquisiti. Cruciale per conversioni efficaci.
(Lead qualificati / Lead totali) * 100",Nome Cognome,link,MUVI,Mensile ,tiktok,,,"0,00%","-150,00%",0,30,50,100,%,,719,,,,,,,,,,,,,,,,,114,136,102,76,66,85,371,536,310,,,,,,,,,,,,,,
# click sul link,"Valuta qualità potenziali clienti acquisiti. Cruciale per conversioni efficaci.
(Lead qualificati / Lead totali) * 100",Nome Cognome,link,MUVI,Mensile ,tiktok,,#N/A,"0,00%","-150,00%",0,30,50,100,%,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# mi piace,"Valuta qualità potenziali clienti acquisiti. Cruciale per conversioni efficaci.
(Lead qualificati / Lead totali) * 100",Nome Cognome,link,MUVI,Mensile ,tiktok,,,"0,00%","-150,00%",0,30,50,100,%,,3897,,,,,,,,,,,,,,,,,197,223,229,165,213,193,322,559,722,,,,,,,,,,,,,,
# tempo di visualizzazione medio video,"Valuta qualità potenziali clienti acquisiti. Cruciale per conversioni efficaci.
(Lead qualificati / Lead totali) * 100",Nome Cognome,link,MUVI,Mensile ,tiktok,,#N/A,"0,00%","-150,00%",0,30,50,100,%,,8-10secondi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Podcast ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Download Unici ,,,,MUVI,Trimestrale,piattaforme podcast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# iscritti,"Valuta qualità potenziali clienti acquisiti. Cruciale per conversioni efficaci.
(Lead qualificati / Lead totali) * 100",Nome Cognome,link,MUVI,Trimestrale,piattaforme podcast,,#N/A,"0,00%","-150,00%",0,30,50,100,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Tasso di completamento,"Valuta qualità potenziali clienti acquisiti. Cruciale per conversioni efficaci.
(Lead qualificati / Lead totali) * 100",Nome Cognome,link,MUVI,Trimestrale,piattaforme podcast,,#N/A,"0,00%","-150,00%",0,30,50,100,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Tasso di abbandono,"Valuta qualità potenziali clienti acquisiti. Cruciale per conversioni efficaci.
(Lead qualificati / Lead totali) * 100",Nome Cognome,link,MUVI,Trimestrale,piattaforme podcast,,#N/A,"0,00%","-150,00%",0,30,50,100,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# social shares,"Valuta qualità potenziali clienti acquisiti. Cruciale per conversioni efficaci.
(Lead qualificati / Lead totali) * 100",Nome Cognome,link,MUVI,Trimestrale,piattaforme podcast,,#N/A,"0,00%","-150,00%",0,30,50,100,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# recensioni/commenti ,"Valuta qualità potenziali clienti acquisiti. Cruciale per conversioni efficaci.
(Lead qualificati / Lead totali) * 100",Nome Cognome,link,MUVI,Trimestrale,piattaforme podcast,,#N/A,"0,00%","-150,00%",0,30,50,100,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ascolti per episodio,"Valuta qualità potenziali clienti acquisiti. Cruciale per conversioni efficaci.
(Lead qualificati / Lead totali) * 100",Nome Cognome,link,MUVI,Trimestrale,piattaforme podcast,,#N/A,0,"-1,5",0,30,50,100,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Branding,,,,MUVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MUVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MUVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newsletter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#tasso di apertura,,,,Giulia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#click sul link,,,,Giulia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# disiscrizioni,,,,Giulia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# segnalazioni spam,,,,Giulia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# bounce,,,,Giulia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# risposte dirette,,,,Giulia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# acquisti,,,,Giulia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# iscritti,,,,Giulia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#traffico,,,,Giulia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#impression,,,,Giulia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# reach,,,,Giulia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# tempo permanenza sulla pagina,,,,Giulia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# articoli più performanti,,,,Giulia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dirette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#visualizzazioni,,,,Giulia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#impression,,,,Giulia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# reach,,,,Giulia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# tempo permanenza sulla pagina,,,,Giulia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# articoli più performanti,,,,Giulia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
