"Inizio dei report","Fine dei report","Nome della campagna","Pubblicazione della campagna","Impostazione di attribuzione",Risultati,"Indicatore di risultato",Copertura,Frequenza,"Costo per risultati","Budget del gruppo di inserzioni","Tipo di budget del gruppo di inserzioni","Importo speso (EUR)",Fine,Impression,"CPM (costo per 1000 impression) (EUR)","Clic sul link",shop_clicks,"CPC (costo per clic sul link) (EUR)","CTR (tasso di clic sul link)","Clic (tutti)","CTR (tutti)","CPC (tutti i clic) (EUR)","Visualizzazioni della pagina di destinazione","Costo per visualizzazione della pagina di destinazione (EUR)","ROAS (ritorno sulla spesa pubblicitaria) relativo agli acquisti","ROAS risultati","Indicatore di valore del risultato","Valore risultati"
2026-05-01,2026-06-18,"TOFU | cold | Add to cart | broad | 27.09 - C",inactive,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,0,0,,15,Giornaliero,0,"In corso",0,0,,,,,0,0,0,,,,,,
2026-05-01,2026-06-18,"TOFU | cold | Add to cart | broad | 27.09 - V",inactive,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,0,0,,"Uso del budget del gruppo di inserzioni",0,0,"In corso",0,0,,,,,0,0,0,,,,,,
2026-05-01,2026-06-18,"TOFU | cold | traffico al sito | broad | 21.12.22",inactive,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,0,0,,"Uso del budget del gruppo di inserzioni",0,0,"In corso",0,0,,,,,0,0,0,,,,,,
2026-05-01,2026-06-18,"Pubblico freddo Agonismo | Visualizzazione di contenuti | 11.09.23",inactive,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,0,0,,"Uso del budget del gruppo di inserzioni",0,0,"In corso",0,0,,,,,0,0,0,,,,,,
2026-05-01,2026-06-18,"BAU - Cold - Visite al profilo IG",active,"Impostazioni di attribuzione multipla",20690,profile_visit_view,167413,1.887888,0.02796665,"Uso del budget del gruppo di inserzioni",0,578.63,"In corso",316057,1.830777,22351,,0.025888,7.071826,26975,8.534853,0.021451,33,17.534242,0.490642,,,
2026-05-01,2026-06-18,"BAU - Cold - Add to cart",inactive,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,0,0,,"Uso del budget del gruppo di inserzioni",0,0,"In corso",0,0,,,,,0,0,0,,,,,,
2026-05-01,2026-06-18,"Lead generation Quiz - Cold - Contatti",inactive,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,0,0,,"Uso del budget del gruppo di inserzioni",0,0,"In corso",0,0,,,,,0,0,0,,,,,,
2026-05-01,2026-06-18,"Promo San Valentino - Advantage - Conversione Acquisto",inactive,"7 giorni dal clic",,,0,0,,"Uso del budget del gruppo di inserzioni",0,0,"In corso",0,0,,,,,0,0,0,,,,,,
2026-05-01,2026-06-18,"Campagna Box di Prova - Esclusi clienti - Grafiche e video",inactive,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,0,0,,15,Giornaliero,0,"In corso",0,0,,,,,0,0,0,,,,,,
2026-05-01,2026-06-18,"Lead Generation Donna Osteoporosi - Recruiting video",inactive,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,0,0,,5,Giornaliero,0,"In corso",0,0,,,,,0,0,0,,,,,,
2026-05-01,2026-06-18,"[Conversione] Retargeting Novembre-Dicembre",inactive,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,0,0,,90,Giornaliero,0,"In corso",0,0,,,,,0,0,0,,,,,,
2026-05-01,2026-06-18,"[Conversione] Retargeting Gennaio",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,0,0,,80,Giornaliero,0,"In corso",0,0,,,,,0,0,0,,,,,,
2026-05-01,2026-06-18,"Conversione - Promo Pasqua Advantage Audience",inactive,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",,,0,0,,500,Totale,0,2026-04-27,0,0,,,,,0,0,0,,,,,,
2026-05-01,2026-06-18,"[Conversione] Aprile 2026 Pubblico Advantage broad",inactive,"7 giorni dal clic",25,actions:offsite_conversion.fb_pixel_purchase,16200,8.897654,31.556,70,Giornaliero,788.9,2026-05-14,144142,5.473075,2053,,0.384267,1.42429,2974,2.063243,0.265266,1551,0.50864,3.825707,3.82570668,action_values:offsite_conversion.fb_pixel_purchase,3018.1
2026-05-01,2026-06-18,"Conversione - Giugno",active,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",34,actions:offsite_conversion.fb_pixel_purchase,30063,4.357083,16.81588235,"Uso del budget del gruppo di inserzioni",0,571.74,2026-07-08,130987,4.364861,1559,,0.366735,1.190194,2894,2.20938,0.19756,1094,0.522614,6.276437,6.27643684,action_values:offsite_conversion.fb_pixel_purchase,3588.49
2026-05-01,2026-06-18,"TOFU - Traffico al blog - Alimentazione",inactive,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,0,0,,6,Giornaliero,0,"In corso",0,0,,,,,0,0,0,,,,,,
2026-05-01,2026-06-18,"MOFU - Generazione di contatti - Alimentazione",inactive,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,0,0,,3,Giornaliero,0,"In corso",0,0,,,,,0,0,0,,,,,,
2026-05-01,2026-06-18,"WOD 2023 - Broad 4 leve - Visualizzazione di contenuto",inactive,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,0,0,,"Uso del budget del gruppo di inserzioni",0,0,"In corso",0,0,,,,,0,0,0,,,,,,
2026-05-01,2026-06-18,LAND_08_01_35+,inactive,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,0,0,,30,Giornaliero,0,"In corso",0,0,,,,,0,0,0,,,,,,
2026-05-01,2026-06-18,"WOD 2023 - Broad 4 leve - Visualizzazione di contenuto",not_delivering,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,0,0,,"Uso del budget del gruppo di inserzioni",0,0,"In corso",0,0,,,,,0,0,0,,,,,,
2026-05-01,2026-06-18,"Retargeting 2024",inactive,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,0,0,,6,Giornaliero,0,"In corso",0,0,,,,,0,0,0,,,,,,
2026-05-01,2026-06-18,"C1 Vendite ABO 1-8-(5*/4*) (15-04-2024)",inactive,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,0,0,,"Uso del budget del gruppo di inserzioni",0,0,"In corso",0,0,,,,,0,0,0,,,,,,
