Landing pages
"May 1, 2026 - June 18, 2026"
Landing page,Campaign,Mobile-friendly click rate,Valid AMP click rate,Mobile speed score,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost
https://neogela.com/blog/cura-osteoporosi-senza-bifosfonati/,IT | Search | Traffico | Cold, --, --,5,"8,662","57,899",14.96%,EUR,0.04,373.79
https://negozio.neogela.com/products/neogela-scatola-28-buste-5-gr-collagene-vero?variant=49939130089815&country=IT&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,IT | Pmax | Conv | Hot&Cold, --, --, --,4,519,0.77%,EUR,0.67,2.70
https://neogela.com/chi-siamo/,IT | Pmax | Conv | Hot&Cold, --, --, --,3,609,0.49%,EUR,0.86,2.59
https://neogela.com/collagene-di-tipo-1-suino/,IT | Pmax | Conv | Hot&Cold, --, --, --,3,802,0.37%,EUR,0.30,0.91
https://negozio.neogela.com/products/2-neogela-12-buste-borsa-frigo,IT | Pmax | Conv | Hot&Cold, --, --, --,3,31,9.68%,EUR,0.72,2.15
https://neogela.com/neogela-shop/,IT | Pmax | Conv | Hot&Cold, --, --, --,3,481,0.62%,EUR,1.44,4.32
https://negozio.neogela.com/products/neogela-scatola-28-buste-5-gr-collagene-vero?variant=47358329225559&country=IT&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,IT | Pmax | Conv | Hot&Cold, --, --, --,3,491,0.61%,EUR,0.55,1.65
https://neogela.com/collagene-di-tipo-1-suino/,IT | Search | Conv | Brand, --, --, --,2,"1,950",0.10%,EUR,0.37,0.73
https://negozio.neogela.com/products/neogela-barattolo-400-gr-collagene-vero?variant=47801330991447&country=IT&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,IT | Pmax | Conv | Hot&Cold, --, --, --,2,551,0.36%,EUR,0.51,1.02
https://negozio.neogela.com/products/neogela-barattolo-400-gr-collagene-vero?variant=47801331024215&country=IT&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,IT | Pmax | Conv | Hot&Cold, --, --, --,2,414,0.48%,EUR,0.26,0.52
https://negozio.neogela.com/products/neogela-scatola-28-buste-5-gr-collagene-vero,IT | Pmax | Conv | Hot&Cold, --, --, --,2,32,6.25%,EUR,0.17,0.35
https://negozio.neogela.com/products/neogela-scatola-28-buste-5-gr-collagene-vero?variant=49939130188119&country=IT&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,IT | Pmax | Conv | Hot&Cold, --, --, --,2,449,0.45%,EUR,0.17,0.34
https://negozio.neogela.com/products/neogela-barattolo-400-gr-collagene-vero?variant=47801330893143&country=IT&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,IT | Pmax | Conv | Hot&Cold, --, --, --,1,"1,526",0.07%,EUR,1.40,1.40
https://neogela.com/prenota-una-consulenza/?_gl=1*vzc26p*_gcl_aw*R0NMLjE3NzY4NDM0ODUuQ2p3S0NBanc0NkhQQmhBTUVpd0FTWnBMUklUZTBMVHdTY3JIZnlBWVFhbnN0ellUX0VEWkdReEFtNV9MU0ZnOFdqWFFIVWplVnI4aVhob0NiMHNRQXZEX0J3RQ..*_gcl_au*NjIxODEwOTczLjE3Nzg2NTg3NDkuNTI4NzQyOTEzLjE3ODA5MDE3MjAuMTc4MDkwMTcxOQ..*_ga*MjkyMzY5MTI2LjE3NzAzNzUzMzQ.*_ga_QZS811Y30V*czE3ODE1MzA5MDgkbzI4JGcxJHQxNzgxNTMxMTE1JGo2MCRsMCRoMA..,IT | Search | Traffico | Cold, --, --, --,1,595,0.17%,EUR,0.02,0.02
https://neogela.com/blog/,IT | Search | Conv | Brand, --, --, --,0,242,0.00%,EUR,0,0.00
https://negozio.neogela.com/products/neogela-scatola-28-buste-5-gr-collagene-vero?variant=47358329323863&country=IT&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,IT | Pmax | Conv | Hot&Cold, --, --, --,0,17,0.00%,EUR,0,0.00
https://neogela.com/contatti/,IT | Pmax | Conv | Hot&Cold, --, --, --,0,319,0.00%,EUR,0,0.00
https://neogela.com/blog/,IT | Pmax | Conv | Hot&Cold, --, --, --,0,153,0.00%,EUR,0,0.00
https://neogela.com/blog/,IT | Search | Traffico | Cold, --, --, --,0,"6,505",0.00%,EUR,0,0.00
