Search keyword
"May 1, 2026 - June 18, 2026"
Search keyword,Search keyword status,Search keyword status reasons,Search keyword match type,Campaign,Ad group,Currency code,Keyword max CPC,Clicks,Impr.,CTR,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate,Avg. CPM
terapie osteoporosi,,,,IT | Search | Traffico | Cold,Rimedi,EUR,0.01,"2,865","19,967",14.35%,0.03,99.51,28.33%,49.15%,2.33,0,42.65,0.08%,4.98
miglior integratore per articolazioni,,,,IT | Search | Traffico | Cold,Prodotti,EUR,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
miglior integratore per artrosi,,,,IT | Search | Traffico | Cold,Prodotti,EUR,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
integratore ossa e articolazioni,,,,IT | Search | Traffico | Cold,Prodotti,EUR,0.01,0,15,0.00%,0,0.00,10.00%,50.00%,0.00,0,0,0,0.00
integratore per articolazioni,,,,IT | Search | Traffico | Cold,Prodotti,EUR,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
integratore per articolazioni e cartilagine,,,,IT | Search | Traffico | Cold,Prodotti,EUR,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
miglior collagene per articolazioni,,,,IT | Search | Traffico | Cold,Prodotti,EUR,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
miglior integratore per ossa e articolazioni,,,,IT | Search | Traffico | Cold,Prodotti,EUR,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
miglior collagene per osteoporosi,,,,IT | Search | Traffico | Cold,Prodotti,EUR,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
colpropur articolazioni,,,,IT | Search | Traffico | Cold,Prodotti,EUR,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
collagene integratore a cosa serve,,,,IT | Search | Traffico | Cold,Prodotti,EUR,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
miglior integratore per ginocchia,,,,IT | Search | Traffico | Cold,Prodotti,EUR,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
neogela recensioni,,,,IT | Search | Conv | Brand,Keyword Navigazione,EUR,0.01,0,5,0.00%,0,0.00,50.00%,50.00%,0.00,0,0,0,0.00
neogela acquisto,,,,IT | Search | Conv | Brand,Keyword Navigazione,EUR,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
neogela qualità prodotto,,,,IT | Search | Conv | Brand,Keyword Navigazione,EUR,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
neogela costo prodotto,,,,IT | Search | Conv | Brand,Keyword Navigazione,EUR,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
