"ID del post","ID della Pagina","Nome della Pagina",Titolo,Descrizione,"Durata (s)","Orario di pubblicazione","Tipo di didascalia",Permalink,"È un cross-posting","È una condivisione","Tipo di post",Lingue,"Etichette personalizzate","Stato del contenuto finanziato","Commento sui dati",Data,Visualizzazioni,Copertura,"Reazioni, commenti e condivisioni",Reazioni,Commenti,Condivisioni,"Clic totali","Utilizzo del pubblico corrispondente alla targetizzazione (Photo Click)","Altri clic","Clic sul link","Visualizzazioni da Post organici","Visualizzazioni da Post in evidenza","Copertura da Post organici","Copertura da Post in evidenza","Visualizzazioni del video di 3 secondi","Visualizzazioni del video di 1 minuto","Persone che hanno visualizzato per 3 secondi","Persone che hanno visualizzato per 1 minuto","Visualizzazioni del video di 3 secondi da Post in evidenza","Visualizzazioni del video di 3 secondi da Post organici","Visualizzazioni di Secondi","Visualizzazioni di Secondi in media","Ricavi stimati (USD)","CPM delle inserzioni: (USD)","Impression delle inserzioni"
1595839472542799,100063502856757,NEOGELA,"Inizia il nostro trial clinico","È iniziato il nostro trial clinico scientifico sul collagene e performance sportiva.

Lo scopo? Capire se il collagene influisce sul recupero muscolare e sulle performance.

Il trial in sintesi: 
🧪 10 atlete
📊 3 mesi di monitoraggio
🔬 Analisi cliniche e strumentali che forniranno dati reali

Durante il percorso verranno monitorati parametri molto specifici come:
🔹 miografia muscolare
🔹 stato redox del glutatione
🔹 risposta del corpo al carico allenante
🔹 recupero e protezione muscolare
👨‍⚕️Il tutto insieme a specialisti in nutrizione, performance sportiva e analisi cliniche 

👉 Seguici per restare aggiornato sugli sviluppi di questo progetto!",138,"05/29/2026 03:02",auto,https://www.facebook.com/reel/2103857981015181/,0,0,Video,,,,,Totale,392,369,0,0,0,0,0,,,,392,0,369,0,96,4,96,4,0,96,1689.468,4.553,0,0,0
1598767162250030,100063502856757,NEOGELA,"Quando si parla di collagene, ossa e articolazioni, ciò che conta non è solo la promessa in etichetta, ma cosa c’è davvero dentro.

I produttori però non sono obbligati a mostrare pubblicamente analisi e certificazioni della materia prima.
Questo significa che potresti assumere qualcosa ogni giorno senza sapere:
🔹 da dove arriva
🔹 come è stato controllato
🔹 se è stato verificato per sostanze nocive

💡 Per questo la differenza la fa la trasparenza: abbiamo deciso, quindi, di dare accesso a tutte le certificazioni sulla materia prima e sugli allevamenti a chiunque ci chieda maggiori dettagli.

Se vuoi approfondire o verificare, le certificazioni sono disponibili sul nostro sito 👉 neogela.com","Quando si parla di collagene, ossa e articolazioni, ciò che conta non è solo la promessa in etichetta, ma cosa c’è davvero dentro.

I produttori però non sono obbligati a mostrare pubblicamente analisi e certificazioni della materia prima.
Questo significa che potresti assumere qualcosa ogni giorno senza sapere:
🔹 da dove arriva
🔹 come è stato controllato
🔹 se è stato verificato per sostanze nocive

💡 Per questo la differenza la fa la trasparenza: abbiamo deciso, quindi, di dare accesso a tutte le certificazioni sulla materia prima e sugli allevamenti a chiunque ci chieda maggiori dettagli.

Se vuoi approfondire o verificare, le certificazioni sono disponibili sul nostro sito 👉 neogela.com",71,"06/01/2026 03:02",auto,https://www.facebook.com/reel/1871268650194118/,0,0,Video,,,,,Totale,502,465,2,2,0,0,4,,3,1,502,0,465,0,126,4,124,4,0,126,1804.478,3.897,0,0,0
1600821968711216,100063502856757,NEOGELA,"La fiducia si deve dimostrare","⚠️ Se un integratore non viene analizzato, tu non puoi sapere davvero cosa stai assumendo!

Questo è un tema di cui si parla troppo poco per questo abbiamo scelto di fare qualcosa che non tutti fanno👇
🔬 Analizzare il nostro collagene per attestare l’assenza di metalli pesanti e contaminanti
📄 Rendere pubbliche le certificazioni
✅ Mostrare dati reali, consultabili da chiunque
Perché crediamo che la trasparenza debba essere messa al primo posto soprattutto quando si parla di salute. 

Se vuoi sapere cosa c’è davvero dentro al nostro collagene, le certificazioni sono disponibili sul nostro sito 🔗 neogela.com",83,"06/03/2026 03:02",auto,https://www.facebook.com/reel/1472764664630085/,0,0,Video,,,,,Totale,474,445,3,2,0,1,3,,3,,473,0,445,0,134,12,131,12,0,134,2774.242,6.192,0,0,0
1602848965175183,100063502856757,NEOGELA,"Collagene, glucosamina e condroitina non sono la stessa cosa!","⚠️ Collagene, glucosamina e condroitina non sono la stessa cosa!

Molte persone cercano un integratore per articolazioni, cartilagini e ossa senza sapere che questi ingredienti hanno ruoli molto diversi: 
🔹 Glucosamina e condroitina sono componenti naturali della cartilagine e vengono spesso utilizzate per aiutare a rallentare la sua degenerazione.
🔹 Il collagene idrolizzato, invece, lavora a un livello diverso; non si limita a preservare ciò che c'è già. Contribuisce a sostenere la struttura che aiuta a mantenere in salute articolazioni, tessuti connettivi e supporto osseo.

In parole semplici:
➡️ Glucosamina e condroitina puntano a conservare.
➡️ Il collagene punta a sostenere il rinnovamento.

Ecco perché sempre più persone interessate a osteopenia, osteoporosi, fragilità ossea, recupero da fratture o attività sportiva cercano di capire quale approccio sia più adatto alle proprie esigenze.

👉 Seguici per approfondire la scienza dietro alle soluzioni per il benessere delle tue articolazioni!",96,"06/05/2026 03:01",auto,https://www.facebook.com/reel/1641215673621342/,0,0,Video,,,,,Totale,2818,2784,21,19,0,2,22,,22,,2816,0,2784,0,923,119,918,119,0,923,21775.637,8.083,0,0,0
1607760838017329,100063502856757,NEOGELA,"Se hai superato i 30 anni queste abitudini possono indebolire le tue ossa senza sintomi evidenti.

🦴 Fare una vita troppo sedentaria
🏋️ Allenarti sempre senza recuperare davvero
☀️ Esporsi troppo poco al sole
🍽️ Mangiare proteine “a caso”
🚨 Pensare alle ossa solo quando compare il dolore

Non intervenire quando hai già 70 anni, la prevenzione inizia oggi, nelle scelte quotidiane.

📤 Condividi con chi ha 30: potrebbe essergli utile! 💙",,0,"06/10/2026 03:01",N/A,https://www.facebook.com/neogela/posts/pfbid0wedMvVKDK9sR6chpBUQ842zEefsmx4KkbK3wBdi5UTteuLkv4PCA5mELRqZND1Ztl,0,0,Foto,,,,,Totale,240,167,1,1,0,0,11,10,1,,240,0,167,0,0,0,0,0,0,0,,,,,
1609718301154916,100063502856757,NEOGELA,"La salute delle ossa si costruisce oggi","Hai 20, 30 o 40 anni? Questo messaggio riguarda te!

L'osteoporosi non inizia quando arriva una frattura, inizia molto prima 🦴

La verità che pochi conoscono è che la salute delle tue ossa a 60 anni si costruisce già oggi.

Nei primi anni della vita adulta il corpo raggiunge il picco di massa ossea, per questo quello che costruisci adesso sarà la tua ""riserva"" per il futuro.

Nel reel presentiamo 3 abitudini che contano più di quanto immagini 🧠

💬 Quanti di questi consigli segui già oggi? Scrivilo nei commenti 👇",57,"06/12/2026 03:01",auto,https://www.facebook.com/reel/1538539281117709/,0,0,Video,,,,,Totale,859,791,5,4,0,1,13,,13,,857,0,791,0,340,0,334,0,0,340,7474.87,9.402,0,0,0
1610673334392746,100063502856757,NEOGELA,"Non guardare solo il prezzo","🗣️ ""Questo collagene costa troppo."" ➡️ È una delle obiezioni che sentiamo più spesso.

Molti integratori di collagene sembrano economici perché osserviamo solo il prezzo sulla confezione.
Es. 30€ per una scatola? Sembra un affare!

Poi però scopri che ogni capsula contiene 1 grammo di collagene e che per raggiungere un dosaggio di supporto a ossa, articolazioni e cartilagini servono almeno 5️⃣ grammi al giorno 🦴

Facciamo due conti 👇
📦 30 capsule = circa 30 grammi totali
📅 Per assumere 5 grammi al giorno la confezione durerebbe appena 6 giorni.
Per coprire un mese servirebbero circa 5 confezioni.
💰 Totale? Circa 150€.

Ecco perché il prezzo della scatola racconta solo una parte della storia.
Quando scegli un collagene guarda sempre anche quanto collagene stai assumendo davvero ogni giorno 🎯

👉 Se vuoi capire come leggere davvero un integratore di collagene, continua a informarti e fai sempre i conti fino in fondo!",78,"06/13/2026 03:01",auto,https://www.facebook.com/reel/1720685459063312/,0,0,Video,,,,,Totale,338,330,1,1,0,0,2,,2,,338,0,330,0,137,11,134,11,0,137,2388.399,7.487,0,0,0
1612664337526979,100063502856757,NEOGELA,"Sai che le ossa sono vive?","🦴 Pensi che le ossa siano solo ""pezzi duri"" del corpo? Questa cosa potrebbe sorprenderti 👇

Le ossa sono tessuti vivi 🌱che si rinnovano e lavorano ogni giorno per mantenerti forte e stabile. 

Una cosa importante da sapere è che le ossa non sono fatte solo di calcio, ma hanno anche una struttura (composta soprattutto da collagene), un’armatura flessibile dentro la parte più rigida 🧬
💡 È proprio questa struttura che aiuta le ossa a essere resistenti senza diventare fragili.

Questo equilibrio con il passare degli anni tende a diminuire piano piano (nelle donne, dopo la menopausa, il processo può accelerare) facendo diventare le ossa più porose e vulnerabili. 

Ma la buona notizia è che puoi prendertene cura ogni giorno, fin da subito, attraverso:
✅ movimento regolare
✅ alimentazione equilibrata
✅ vitamina D
✅ collagene specifico per la salute ossea

Vuoi iniziare a proteggere le tue ossa prima che diventino fragili?
📩 Scrivici, ti aiutiamo a capire da dove partire!",98,"06/15/2026 03:01",N/A,https://www.facebook.com/reel/1772141280445088/,0,0,Video,,,,,Totale,6928,6715,79,55,10,14,192,,192,,6913,0,6715,0,3319,642,3274,632,0,3319,100095.683,15.473,0,0,0
1614723617321051,100063502856757,NEOGELA,"L’errore più comune con l’osteoporosi","⚠️ Hai l'osteoporosi e pensi che ormai non ci sia più niente da fare?
Questo è forse l'errore più pericoloso di tutti perché molto spesso non è la diagnosi a peggiorare la situazione, ma le abitudini che la seguono.

Le ossa sono tessuti vivi 🦴e continuano a rispondere agli stimoli che ricevono ogni giorno.
Ecco i 5 errori più comuni che possono accelerarne l'indebolimento👇
❌ Muoversi troppo poco
❌ Seguire una dieta poco equilibrata
❌ Evitare controlli periodici
❌ Non modificare il proprio stile di vita
❌ Non intraprendere alcun percorso di supporto

Il primo passo è smettere di ignorare il problema per iniziare a prendersi cura delle proprie ossa. 

👉 Scopri di più su neogela.com",66,"06/17/2026 03:01",N/A,https://www.facebook.com/reel/1001635075943993/,0,0,Video,,,,,Totale,1518,1428,13,12,1,0,21,,21,,1503,0,1428,0,587,166,587,165,0,587,18318.966,13.01,0,0,0
1569594568500623,100063502856757,NEOGELA,"Scopri l’osteoporosi dopo una frattura?","Se hai scoperto di avere l’osteoporosi solo dopo una frattura 🦴devi sapere che succede più spesso di quanto immagini.

In particolare alle donne dopo i 40-50 anni!
Durante la menopausa, infatti, il rischio di osteoporosi aumenta e le ossa si indeboliscono in silenzio (senza sintomi o dolori)💥 fino a quando non è troppo tardi.

Per una corretta prevenzione segui questi consigli:
🔹 controlli mirati
🔹 supporto nutrizionale (collagene, calcio, vitamina D)
🔹 stile di vita attivo
Ma soprattutto, quello che fa la differenza è l’informazione! 💡

Sul nostro sito trovi contenuti e approfondimenti per iniziare a farlo. 
Visita neogela.com 🔗",81,"05/01/2026 03:00",auto,https://www.facebook.com/reel/1730675188290291/,0,0,Video,,,,,Totale,7285,6665,75,69,0,6,71,,67,4,7270,0,6665,0,3332,831,3332,831,0,3332,104128.573,15.679,0,0,0
1573295371463876,100063502856757,NEOGELA,"Diagnosi: osteoporosi. A chi mi rivolgo?","Spesso dopo la diagnosi di osteoporosi ci si sente lasciati soli e ricevere una diagnosi importante senza sapere cosa fare dopo fa paura.

💡 Quando però capisci da dove iniziare cambia tutto
🦴 Curare l’osteoporosi è un percorso per il quale serve un approccio completo:
🔹 attività fisica regolare
🔹 alimentazione corretta
🔹 costanza nel tempo
Ma soprattutto serve qualcuno che ti aiuti a capire da dove iniziare 🫂

Se anche tu hai dubbi, comincia da qui! 👉 Informati e trova qualcuno che ti accompagni davvero!",74,"05/05/2026 03:01",N/A,https://www.facebook.com/reel/1233789191931553/,0,0,Video,,,,,Totale,9289,8051,83,73,9,1,246,,246,,9269,0,8051,0,4374,1026,4340,1026,0,4374,124102.404,14.999,0,0,0
